# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
2.900000000000000000e+01,5.471998000000000140e-01,1.025131299999999968e+00,1.058675199999999927e+00,1.024952300000000038e+00,1.024648500000000073e+00,-1.092780000000000010e-03,-2.058199000000000001e-01,-1.920382999999999899e-03
3.000000000000000000e+01,5.750695000000000112e-01,1.027789700000000028e+00,1.061345200000000100e+00,1.027558699999999936e+00,1.027189099999999966e+00,-1.214629000000000056e-03,-1.776565999999999979e-01,-2.120409000000000183e-03
3.100000000000000000e+01,6.037681000000000298e-01,1.030676399999999937e+00,1.064240999999999993e+00,1.030378000000000016e+00,1.029930100000000071e+00,-1.356021999999999913e-03,-1.538563000000000014e-01,-2.480193999999999802e-03
3.200000000000000000e+01,6.337498999999999771e-01,1.033860999999999919e+00,1.067428700000000008e+00,1.033469900000000052e+00,1.032927799999999952e+00,-1.536536000000000022e-03,-1.334132000000000096e-01,-3.041012000000000055e-03
3.300000000000000000e+01,6.647929999999999673e-01,1.037352400000000063e+00,1.070910199999999923e+00,1.036829100000000059e+00,1.036174799999999951e+00,-1.781108999999999904e-03,-1.159989000000000020e-01,-3.570007999999999949e-03
3.400000000000000000e+01,6.969030999999999976e-01,1.041163899999999920e+00,1.074702100000000105e+00,1.040472800000000086e+00,1.039685399999999982e+00,-2.041734999999999817e-03,-1.011302000000000034e-01,-3.811740000000000093e-03
3.500000000000000000e+01,7.305148000000000197e-01,1.045360300000000020e+00,1.078888199999999964e+00,1.044470999999999927e+00,1.043523800000000001e+00,-2.281229000000000069e-03,-8.828524999999999567e-02,-3.675120000000000036e-03
3.600000000000000000e+01,7.653341000000000172e-01,1.049905000000000088e+00,1.083461900000000089e+00,1.048811399999999949e+00,1.047674900000000076e+00,-2.439643000000000020e-03,-7.729598999999999498e-02,-3.031247999999999842e-03
3.700000000000000000e+01,8.017963999999999647e-01,1.054840299999999953e+00,1.088520500000000002e+00,1.053573099999999929e+00,1.052210199999999984e+00,-2.458356000000000083e-03,-6.779896000000000533e-02,-2.259927000000000116e-03
3.800000000000000000e+01,8.396595999999999504e-01,1.060168800000000022e+00,1.094076100000000107e+00,1.058752399999999927e+00,1.057120999999999977e+00,-2.392738000000000156e-03,-5.967019999999999963e-02,-2.441833000000000024e-03
