# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
6.200000000000000000e+01,1.361219400000000057e+01,3.817013000000000211e+00,2.208932999999999869e-01,4.037906200000000112e+00,1.579879999999999896e-01,-7.418199999999999794e-03,2.260389999999999969e-02,1.805918999999999996e-01,7.900787799999999805e+00,2.281038999999999983e-01,4.500999999999999901e-04,-1.093999999999999972e-01
6.300000000000000000e+01,1.643724900000000133e+01,4.234753999999999685e+00,2.872449999999999726e-01,4.521999000000000102e+00,1.400086000000000108e-01,-5.686799999999999668e-03,2.422399999999999901e-02,1.642326000000000064e-01,8.500507799999999392e+00,2.005435999999999885e-01,3.171100000000000047e-04,-9.937000000000000000e-02
6.400000000000000000e+01,1.975442899999999824e+01,4.668567000000000355e+00,3.704715000000000091e-01,5.039038599999999590e+00,1.237834000000000018e-01,-4.401500000000000030e-03,2.581110000000000002e-02,1.495944999999999914e-01,9.120009100000000757e+00,1.763897000000000104e-01,2.260200000000000078e-04,-9.018199999999999827e-02
6.500000000000000000e+01,2.360771199999999936e+01,5.114232999999999585e+00,4.731586999999999876e-01,5.587391700000000405e+00,1.090150000000000008e-01,-3.469100000000000135e-03,2.734750000000000028e-02,1.363624999999999976e-01,9.753291499999999559e+00,1.552193000000000045e-01,1.633500000000000132e-04,-8.179799999999999571e-02
6.600000000000000000e+01,2.803169499999999914e+01,5.562769000000000297e+00,5.976901999999999493e-01,6.160458900000000071e+00,9.551469999999999405e-02,-2.739600000000000021e-03,2.881260000000000071e-02,1.243273000000000017e-01,1.039360860000000031e+01,1.367247000000000046e-01,1.199500000000000018e-04,-7.421600000000000419e-02
6.700000000000000000e+01,3.304680599999999657e+01,6.008398999999999823e+00,7.459605999999999737e-01,6.754359199999999674e+00,8.354930000000000689e-02,-2.171800000000000206e-03,3.017339999999999953e-02,1.137226999999999960e-01,1.103374239999999951e+01,1.206363000000000019e-01,8.964100000000000453e-05,-6.741400000000000170e-02
6.800000000000000000e+01,3.865569899999999848e+01,6.443719999999999892e+00,9.190180000000000016e-01,7.362737499999999713e+00,7.271110000000000073e-02,-1.744300000000000061e-03,3.140980000000000161e-02,1.041209000000000023e-01,1.166643780000000064e+01,1.066462999999999994e-01,6.826100000000000256e-05,-6.132499999999999757e-02
6.900000000000000000e+01,4.484232399999999785e+01,6.860108999999999568e+00,1.117130200000000073e+00,7.977238800000000296e+00,6.320270000000000055e-02,-1.394800000000000076e-03,3.249250000000000055e-02,9.569510000000000516e-02,1.228421089999999971e+01,9.448489999999999667e-02,5.301699999999999740e-05,-5.589999999999999830e-02
7.000000000000000000e+01,5.156743399999999866e+01,7.255164999999999864e+00,1.339080100000000106e+00,8.594245499999999538e+00,5.486209999999999698e-02,-1.154199999999999974e-03,3.339999999999999913e-02,8.826199999999999324e-02,1.288036499999999940e+01,8.392429999999999335e-02,4.201599999999999888e-05,-5.106399999999999828e-02
7.100000000000000000e+01,5.877216200000000157e+01,7.620472000000000357e+00,1.582780400000000087e+00,9.203252600000000783e+00,4.721050000000000246e-02,-9.730999999999999633e-04,3.416450000000000042e-02,8.137500000000000289e-02,1.344857249999999915e+01,7.474139999999999950e-02,3.398300000000000311e-05,-4.676600000000000201e-02
7.200000000000000000e+01,6.637582100000000196e+01,7.951412000000000369e+00,1.845280299999999984e+00,9.796692300000000131e+00,4.052460000000000090e-02,-8.078999999999999593e-04,3.475960000000000161e-02,7.528429999999999844e-02,1.398378310000000013e+01,6.675699999999999690e-02,2.804400000000000119e-05,-4.295399999999999913e-02
7.300000000000000000e+01,7.428334999999999866e+01,8.247197999999999141e+00,2.122090200000000149e+00,1.036928860000000086e+01,3.472250000000000336e-02,-6.826999999999999518e-04,3.516269999999999812e-02,6.988519999999999455e-02,1.448180160000000072e+01,5.979809999999999987e-02,2.360199999999999866e-05,-3.955800000000000288e-02
7.400000000000000000e+01,8.238609200000000499e+01,8.506268999999999636e+00,2.408306800000000081e+00,1.091457549999999976e+01,2.961449999999999846e-02,-5.869999999999999567e-04,3.540419999999999678e-02,6.501869999999999872e-02,1.493990909999999950e+01,5.373610000000000192e-02,2.024200000000000034e-05,-3.653399999999999703e-02
7.500000000000000000e+01,9.057010499999999809e+01,8.729138000000000730e+00,2.698722899999999925e+00,1.142786079999999949e+01,2.516869999999999871e-02,-5.079000000000000398e-04,3.548860000000000209e-02,6.065729999999999733e-02,1.535653070000000042e+01,4.843759999999999732e-02,1.767199999999999953e-05,-3.382899999999999796e-02
7.600000000000000000e+01,9.872146800000000155e+01,8.917543000000000220e+00,2.988026000000000071e+00,1.190556920000000041e+01,2.131490000000000121e-02,-4.437999999999999996e-04,3.542619999999999797e-02,5.674119999999999858e-02,1.573131650000000015e+01,4.380060000000000203e-02,1.568799999999999955e-05,-3.140300000000000036e-02
7.700000000000000000e+01,1.067313840000000056e+02,9.074118999999999602e+00,3.271274200000000132e+00,1.234539310000000079e+01,1.798809999999999992e-02,-3.914000000000000270e-04,3.523779999999999968e-02,5.322589999999999960e-02,1.606501520000000127e+01,3.973820000000000130e-02,1.414199999999999945e-05,-2.922200000000000145e-02
7.800000000000000000e+01,1.145015989999999988e+02,9.202135000000000176e+00,3.544141399999999997e+00,1.274627609999999933e+01,1.512769999999999913e-02,-3.482000000000000069e-04,3.494209999999999677e-02,5.006979999999999764e-02,1.635929820000000134e+01,3.617510000000000170e-02,1.292800000000000057e-05,-2.725699999999999998e-02
7.900000000000000000e+01,1.219477449999999976e+02,9.305163000000000295e+00,3.803076499999999971e+00,1.310823949999999982e+01,1.267730000000000072e-02,-3.123000000000000016e-04,3.455479999999999663e-02,4.723220000000000196e-02,1.661654569999999964e+01,3.304050000000000042e-02,1.196799999999999959e-05,-2.547800000000000065e-02
